reference,date,type,sex,age,name,origin,ethnicity,colour,owner/seller,buyer,price,currency
32/156,1301-09-25,sale,male,20,Ballaba,,Saracen,,Vivaldus de Aste,Salvetus Boatrius of Famagusta,100 *,Cypriot white bezants
32/156,1301-09-25,sale,female,60,Maria,,Christian,,Vivaldus de Aste,Salvetus Boatrius of Famagusta,100 *,Cypriot white bezants
23/168,1301-09-25,sale,female,10,Catonum,Turkey,,white,Anselmus Guidonis,Manfredus Sonator,40,Cypriot white bezants
32/172,1301-09-02,sale,male,45,Abraam,Egypt,,brown,Massa de Iacopo of Tripoli (Libya),Iohannes de Pondo,65,gold Saracen bezants
32/184,1301-09-02,societas,,,,,,,Ottobonus Nizola and Michael de Robino,,,
32/175,1301-09-30,sale,female,10,Iorda,,Mingrelian,brown,Iacobus de Porcus de Branducio of Genoa,Thoma de Sancto Ambrosio of Genoa,56,Cypriot white bezants
32/224,1301-10-16,sale,female,22,Maria,,Saracen,brown,Eusefe brother of Serges of Tripoli,Rolandus de Rivalta of Piacenza,200,Cypriot white bezants
32/239,1301-10,sale,female,15,Maria,,Romaniote,white,Nicola of Ancona,Manssor de Castro Pellegrino,109,Cypriot white bezants
49/12,1302-01-12,sale,female,13,Gutuluza,,Magyar,white,Iohanes Barrilarius of Genoa,Peyre Sanson of Barcelona,78,Cypriot white bezants
49/57,1302-02-02,sale,male,12,Xesine,,Saracen,brown,Raymondus de Sagona of Genoa,Oberto Buda from Sestri Ponente,34,Cypriot white bezants
49/122,1302-03-14,sale,,,,Turkey,,,Ugolinus Rubli of Portovenere,"Linardus de Raul de Beltrame of Genoa, resident of Famagusta",280 *,Cypriot white bezants
49/122,1302-03-14,sale,,,,Turkey,,,Ugolinus Rubli of Portovenere,"Linardus de Raul de Beltrame of Genoa, resident of Famagusta",280 *,Cypriot white bezants
49/122,1302-03-14,sale,,,,Turkey,,,Ugolinus Rubli of Portovenere,"Linardus de Raul de Beltrame of Genoa, resident of Famagusta",280 *,Cypriot white bezants
49/168,1302-04-16,manumission,female,,Maria,,Mozarab ?,,Dama Sibilia de Sauro of Genoa,,,
49/185,1302-04-26,testament,female,,Fatima,,,,Ansaldo de Sexto of Genoa,,,
49/185,1302-04-26,testament,female,,Arthoria,,,,Ansaldo de Sexto of Genoa,,,
49/185,1302-04-26,testament,male,,Thomasinus,,,,Ansaldo de Sexto of Genoa,,,
49/248,1302-07-03,insurance,male,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,male,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,male,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,male,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,male,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,male,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,female,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,female,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,female,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,female,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/248,1302-07-03,insurance,female,,,,Mongolian,,Paschalis de Paschale of Genoa,,,
49/254,1302-07-04,sale,female,17,Cologo,,Cuman,white,Thomas de Fossato,Gregorello Formica of Savona,100,Cypriot white bezants
49/280,1302-08-07,manumission,female,,"Maria, daughter of Costa",Trebizond,,,Raimondus Ugone de Malcrea of Genoa,,,
49/281,1302-08-08,testamentary manumission,female,,Fatima,Turkey,,,Iacobus Porcus de Branducio of Genoa resident of Famagusta,,,
43/I-19,1305-07-19,testamentary manumission,female,,Anna,,,,Petrus Alenus of Genoa burgensis of Famagusta,,,
43/II-63,1307-02-15,sale,female,20,Maria,Rhodes,,,"Ansaldus Ioria of Savona, Genoese",Berthozius Latinus,30,Cypriot white bezants
43/II-64,1307-02-15,dowry,female,,Maria,,,,,,,
43/II-67,1307-02-17,sale,male,50,Dautus,,Saracen,,Iohanes de Galiana of Genoa burgesis of Famagusta,Manuele Stanconus of Genoa,100,Cypriot white bezants
43/II-134,1307-04-02,sale,male,,Dimitri,,Greek,,Franciscus Vaca de Finali of Genoa,Nicolino Sartori of Genoa,32,Cypriot white bezants
