NAME,CLASS,POLITICS,IN ALBERGHI
GIORDANO,ARTEFICI,GHIBELLINI,
GIOVO,ARTEFICI,GUELFI,
GIUDICE,MERCANTI,GHIBELLINI,
"GIUDICI, DE",MERCANTI,GUELFI,
GIULIA,NOBILI,GUELFI,CALVI
GIULIA,MERCANTI,GHIBELLINI,"FRANCHI, DE"
GIUSSANO,ARTEFICI,GUELFI,
GIUSTINIANI,MERCANTI,"GHIBELLINI, GUELFI",
GOANO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
GONTARDO,NOBILI,GUELFI,LERCARI
GORLERI,ARTEFICI,GUELFI,
"GRADI, DE","MERCANTI, ARTEFICI",GHIBELLINI,
GRILLO,NOBILI,GHIBELLINI,
GRIMALDI,NOBILI,GUELFI,
GROPALLO,MERCANTI,GUELFI,
GUALTIERI,NOBILI,GHIBELLINI,VIVALDI
GUANO,"MERCANTI, ARTEFICI",GHIBELLINI,
GUARACO,NOBILI,GHIBELLINI,PALLAVICINI
GUASTAVINO,ARTEFICI,GHIBELLINI,
GUERCII,NOBILI,GHIBELLINI,IMPERIALE
ILLICE,"MERCANTI, ARTEFICI",GUELFI,
ILLIONI,MERCANTI,GUELFI,
ILLUMINATI,ARTEFICI,GUELFI,
IMPERIALE,NOBILI,GHIBELLINI,
INGONI,NOBILI,GHIBELLINI,CATTANEO
INTERIANO,NOBILI,"GHIBELLINI, GUELFI",
INVREA,ARTEFICI,GUELFI,
"ITA, DE",NOBILI,GHIBELLINI,PALLAVICINI
ITALIANO,NOBILI,"GHIBELLINI, GUELFI",
LABANIS,NOBILI,GHIBELLINI,IMPERIALE
"LAGNETO, DE",NOBILI,GHIBELLINI,DORIA
LASAGNA ,"MERCANTI, ARTEFICI",GHIBELLINI,
LAVAGGI,NOBILI,"GHIBELLINI, GUELFI",INTERIANO
"LAZARIO, DE",MERCANTI,GUELFI,
LEARDI,ARTEFICI,GHIBELLINI,
"LECCA, DE",NOBILI,GHIBELLINI,DORIA
LECCAYELLO,NOBILI,GUELFI,LERCARI
